location,month,temp_mean_c,source
fuessen,1949-09,15.21,ERA5/Open-Meteo
fuessen,1949-10,10.0,ERA5/Open-Meteo
fuessen,1949-11,1.03,ERA5/Open-Meteo
fuessen,1949-12,-2.0,ERA5/Open-Meteo
fuessen,1950-01,-4.83,ERA5/Open-Meteo
fuessen,1950-02,-0.26,ERA5/Open-Meteo
fuessen,1950-03,1.22,ERA5/Open-Meteo
fuessen,1950-04,4.23,ERA5/Open-Meteo
fuessen,1950-05,11.85,ERA5/Open-Meteo
fuessen,1950-06,16.2,ERA5/Open-Meteo
fuessen,1950-07,18.15,ERA5/Open-Meteo
fuessen,1950-08,16.11,ERA5/Open-Meteo
fuessen,1950-09,12.42,ERA5/Open-Meteo
fuessen,1950-10,7.05,ERA5/Open-Meteo
fuessen,1950-11,0.4,ERA5/Open-Meteo
fuessen,1950-12,-1.7,ERA5/Open-Meteo
fuessen,1951-01,-2.04,ERA5/Open-Meteo
fuessen,1951-02,-0.38,ERA5/Open-Meteo
fuessen,1951-03,-0.13,ERA5/Open-Meteo
fuessen,1951-04,3.69,ERA5/Open-Meteo
fuessen,1951-05,9.36,ERA5/Open-Meteo
fuessen,1951-06,13.7,ERA5/Open-Meteo
fuessen,1951-07,15.86,ERA5/Open-Meteo
fuessen,1951-08,15.93,ERA5/Open-Meteo
fuessen,1951-09,13.59,ERA5/Open-Meteo
fuessen,1951-10,6.72,ERA5/Open-Meteo
fuessen,1951-11,3.47,ERA5/Open-Meteo
fuessen,1951-12,-3.1,ERA5/Open-Meteo
fuessen,1952-01,-4.87,ERA5/Open-Meteo
fuessen,1952-02,-3.59,ERA5/Open-Meteo
fuessen,1952-03,1.41,ERA5/Open-Meteo
fuessen,1952-04,6.08,ERA5/Open-Meteo
fuessen,1952-05,10.54,ERA5/Open-Meteo
fuessen,1952-06,14.86,ERA5/Open-Meteo
fuessen,1952-07,18.14,ERA5/Open-Meteo
fuessen,1952-08,16.78,ERA5/Open-Meteo
fuessen,1952-09,9.39,ERA5/Open-Meteo
fuessen,1952-10,5.97,ERA5/Open-Meteo
fuessen,1952-11,-0.71,ERA5/Open-Meteo
fuessen,1952-12,3.4,ERA5/Open-Meteo
fuessen,1953-01,-5.32,ERA5/Open-Meteo
fuessen,1953-02,-3.25,ERA5/Open-Meteo
fuessen,1953-03,1.01,ERA5/Open-Meteo
fuessen,1953-04,4.88,ERA5/Open-Meteo
fuessen,1953-05,10.81,ERA5/Open-Meteo
fuessen,1953-06,13.14,ERA5/Open-Meteo
fuessen,1953-07,16.09,ERA5/Open-Meteo
fuessen,1953-08,15.13,ERA5/Open-Meteo
fuessen,1953-09,13.28,ERA5/Open-Meteo
fuessen,1953-10,9.29,ERA5/Open-Meteo
fuessen,1953-11,2.59,ERA5/Open-Meteo
fuessen,1953-12,4.2,ERA5/Open-Meteo
fuessen,1954-01,-6.33,ERA5/Open-Meteo
fuessen,1954-02,-4.74,ERA5/Open-Meteo
fuessen,1954-03,1.72,ERA5/Open-Meteo
fuessen,1954-04,3.37,ERA5/Open-Meteo
fuessen,1954-05,8.51,ERA5/Open-Meteo
fuessen,1954-06,13.45,ERA5/Open-Meteo
fuessen,1954-07,12.97,ERA5/Open-Meteo
fuessen,1954-08,14.05,ERA5/Open-Meteo
fuessen,1954-09,12.47,ERA5/Open-Meteo
fuessen,1954-10,7.34,ERA5/Open-Meteo
fuessen,1954-11,0.95,ERA5/Open-Meteo
fuessen,1954-12,1.9,ERA5/Open-Meteo
fuessen,1955-01,-3.56,ERA5/Open-Meteo
fuessen,1955-02,-2.31,ERA5/Open-Meteo
fuessen,1955-03,-1.2,ERA5/Open-Meteo
fuessen,1955-04,3.28,ERA5/Open-Meteo
fuessen,1955-05,8.81,ERA5/Open-Meteo
fuessen,1955-06,13.31,ERA5/Open-Meteo
fuessen,1955-07,15.14,ERA5/Open-Meteo
fuessen,1955-08,14.14,ERA5/Open-Meteo
fuessen,1955-09,11.54,ERA5/Open-Meteo
fuessen,1955-10,6.13,ERA5/Open-Meteo
fuessen,1955-11,0.75,ERA5/Open-Meteo
fuessen,1955-12,-1.3,ERA5/Open-Meteo
fuessen,1956-01,-3.41,ERA5/Open-Meteo
fuessen,1956-02,-11.94,ERA5/Open-Meteo
fuessen,1956-03,0.15,ERA5/Open-Meteo
